광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경상남도,김해시,1.3274744E7
경상남도,양산시,1.3220893E7
경상남도,거제시,4797674.0
경상남도,창원시 진해구,3388724.0
경상남도,창원시 의창구,2377204.0
경상남도,창원시 성산구,2269390.0
경상남도,진주시,1725549.0
경상남도,밀양시,1507726.0
경상남도,창원시 마산회원구,1423303.0
경상남도,창원시 마산합포구,1198281.0
경상남도,통영시,922663.0
경상남도,사천시,616490.0
경상남도,함안군,547862.0
경상남도,창녕군,489030.0
경상남도,고성군,365771.0
경상남도,남해군,330424.0
경상남도,의령군,258790.0
경상남도,합천군,238455.0
경상남도,하동군,231528.0
경상남도,거창군,229526.0
경상남도,함양군,211096.0
경상남도,산청군,189606.0
서울특별시,강남구,1209722.0
서울특별시,송파구,1074927.0
서울특별시,관악구,1037494.0
서울특별시,강서구,863502.0
서울특별시,마포구,810520.0
서울특별시,서초구,789050.0
서울특별시,영등포구,697330.0
서울특별시,동작구,637780.0
서울특별시,성북구,601758.0
서울특별시,서대문구,598980.0
서울특별시,광진구,555114.0
서울특별시,동대문구,531086.0
서울특별시,강동구,529424.0
서울특별시,성동구,528136.0
서울특별시,노원구,519340.0
서울특별시,은평구,515694.0
서울특별시,용산구,490388.0
서울특별시,양천구,435428.0
서울특별시,구로구,422772.0
서울특별시,중랑구,322690.0
서울특별시,종로구,317216.0
서울특별시,강북구,282968.0
서울특별시,금천구,254107.0
서울특별시,중구,249774.0
서울특별시,도봉구,219324.0
경기도,화성시,925323.0
경기도,성남시 분당구,760364.0
경기도,부천시,666302.0
경기도,평택시,634158.0
경기도,용인시 기흥구,587797.0
경기도,남양주시,556426.0
경기도,수원시 영통구,497620.0
경기도,김포시,484442.0
경기도,용인시 수지구,482716.0
경기도,고양시 덕양구,448984.0
경기도,고양시 일산동구,386984.0
경기도,광주시,377290.0
경기도,시흥시,342601.0
경기도,안양시 동안구,336231.0
경기도,의정부시,311381.0
경기도,파주시,310194.0
경기도,하남시,309054.0
