유형 중분류명,유형 소분류명,소분류 검색건수
기타관광,교통시설,159860
기타관광,기타관광,47538
기타관광,데이트코스,1406
레저스포츠,기타레저스포츠,4958
레저스포츠,수상레저스포츠,15756
레저스포츠,육상레저스포츠,45022
문화관광,공연시설,17739
문화관광,교육시설,377
문화관광,기타문화관광지,11928
문화관광,도시공원,49924
문화관광,랜드마크관광,6658
문화관광,레저스포츠시설,7702
문화관광,복합관광시설,5921
문화관광,전시시설,32647
문화관광,테마공원,23302
쇼핑,기타쇼핑시설,16270
쇼핑,면세점,834
쇼핑,쇼핑몰,244487
쇼핑,시장,75539
쇼핑,전문매장/상가,397
숙박,기타숙박,567
숙박,모텔,43463
숙박,캠핑,5919
숙박,콘도미니엄,26818
숙박,펜션/민박,642
숙박,호스텔,747
숙박,호텔,133504
역사관광,역사유물,122
역사관광,역사유적지,9771
역사관광,종교성지,46161
음식,간이음식,43352
음식,기타음식,7525
음식,외국식,180456
음식,카페/찻집,97316
음식,한식,183895
자연관광,자연경관(산),2293
자연관광,자연경관(하천/해양),97732
자연관광,자연공원,2105
자연관광,자연생태,1568
체험관광,농/산/어촌체험,429
체험관광,웰니스관광,6105
