유형 중분류명,유형 소분류명,소분류 검색건수
기타관광,교통시설,41785
기타관광,기타관광,134762
기타관광,데이트코스,898
레저스포츠,기타레저스포츠,13397
레저스포츠,수상레저스포츠,11658
레저스포츠,육상레저스포츠,197404
레저스포츠,항공레저스포츠,41
문화관광,공연시설,16102
문화관광,교육시설,746
문화관광,기타문화관광지,16607
문화관광,도시/지역문화관광,41
문화관광,도시공원,60809
문화관광,랜드마크관광,5275
문화관광,레저스포츠시설,14141
문화관광,복합관광시설,7935
문화관광,전시시설,21522
문화관광,테마공원,35914
쇼핑,기타쇼핑시설,20229
쇼핑,면세점,25
쇼핑,쇼핑몰,78551
쇼핑,시장,35428
쇼핑,전문매장/상가,6
숙박,기타숙박,1713
숙박,모텔,48912
숙박,캠핑,41861
숙박,콘도미니엄,49595
숙박,펜션/민박,1795
숙박,호스텔,472
숙박,호텔,50365
역사관광,역사유물,2304
역사관광,역사유적지,30927
역사관광,종교성지,75292
음식,간이음식,56765
음식,기타음식,10559
음식,외국식,150930
음식,카페/찻집,109861
음식,한식,226744
자연관광,자연경관(산),19076
자연관광,자연경관(하천/해양),69221
자연관광,자연공원,9299
자연관광,자연생태,2261
체험관광,농/산/어촌체험,5034
체험관광,웰니스관광,8118
